iter	Passed	Remaining
400	28488	42555
401	28571	42502
402	28629	42410
403	28684	42316
404	28739	42221
405	28800	42136
406	28859	42048
407	28911	41950
408	28969	41860
409	29029	41773
410	29084	41680
411	29138	41586
412	29190	41488
413	29250	41402
414	29308	41313
415	29361	41218
416	29419	41130
417	29491	41062
418	29559	40988
419	29612	40893
420	29668	40803
421	29727	40717
422	29787	40631
423	29838	40535
424	29892	40442
425	29943	40346
426	30010	40271
427	30061	40175
428	30114	40083
429	30169	39991
430	30235	39916
431	30285	39820
432	30343	39734
433	30408	39656
434	30486	39596
435	30541	39507
436	30600	39423
437	30663	39344
438	30716	39252
439	30774	39167
440	30835	39086
441	30896	39004
442	30952	38917
443	31009	38832
444	31073	38754
445	31125	38662
446	31180	38574
447	31233	38484
448	31303	38415
449	31372	38344
450	31436	38267
451	31494	38183
452	31560	38109
453	31617	38024
454	31672	37937
455	31728	37851
456	31786	37767
457	31842	37682
458	31891	37589
459	31950	37507
460	32008	37424
461	32071	37347
462	32122	37256
463	32178	37171
464	32239	37092
465	32316	37031
466	32373	36949
467	32427	36862
468	32493	36788
469	32548	36703
470	32606	36621
471	32659	36534
472	32725	36461
473	32781	36378
474	32837	36293
475	32886	36202
476	32950	36127
477	33011	36050
478	33065	35964
479	33116	35875
480	33174	35795
481	33257	35741
482	33307	35652
483	33362	35567
484	33426	35493
485	33485	35414
486	33535	35325
487	33588	35240
488	33643	35157
489	33709	35085
490	33762	35000
491	33816	34916
492	33875	34837
493	33935	34759
494	33983	34669
495	34039	34588
496	34091	34502
497	34168	34443
498	34228	34365
499	34283	34283
500	34338	34201
501	34403	34129
502	34456	34045
503	34509	33961
504	34568	33883
505	34629	33808
506	34683	33725
507	34733	33639
508	34791	33561
509	34854	33487
510	34908	33405
511	34958	33319
512	35014	33240
513	35091	33179
514	35140	33093
515	35196	33014
516	35251	32932
517	35311	32857
518	35363	32774
519	35418	32693
520	35477	32617
521	35535	32540
522	35583	32453
523	35640	32375
524	35699	32299
525	35754	32220
526	35857	32183
527	35963	32148
528	36197	32228
529	36294	32186
530	36362	32117
531	36432	32049
532	36512	31991
533	36595	31935
534	36664	31867
535	36739	31804
536	36816	31742
537	36877	31668
538	36962	31613
539	37053	31563
540	37110	31486
541	37177	31416
542	37253	31352
543	37337	31297
544	37407	31229
545	37482	31167
546	37606	31144
547	37685	31083
548	37757	31017
549	37836	30957
550	37898	30882
551	37972	30818
552	38043	30751
553	38132	30698
554	38198	30627
555	38265	30557
556	38342	30494
557	38422	30434
558	38491	30366
559	38563	30300
560	38633	30232
561	38720	30177
562	38782	30102
563	38850	30033
564	38923	29967
565	39012	29913
566	39074	29839
567	39150	29776
568	39228	29714
569	39291	29641
570	39372	29581
571	39455	29522
572	39533	29460
573	39615	29401
574	39687	29334
575	39760	29267
576	39853	29216
577	39939	29159
578	40015	29095
579	40100	29038
580	40173	28971
581	40239	28900
582	40326	28843
583	40391	28771
584	40465	28706
585	40560	28655
586	40650	28600
587	40736	28543
588	40848	28503
589	40932	28444
590	41018	28386
591	41126	28344
592	41224	28294
593	41348	28261
594	41451	28215
595	41616	28209
596	41694	28145
597	41803	28102
598	41881	28037
599	41979	27986
600	42070	27930
601	42147	27864
602	42224	27799
603	42303	27735
604	42391	27677
605	42468	27611
606	42581	27569
607	42674	27513
608	42781	27467
609	42889	27421
610	42987	27368
611	43084	27314
612	43169	27253
613	43249	27189
614	43331	27126
615	43436	27077
616	43520	27015
617	43609	26956
618	43722	26911
619	43813	26853
620	43918	26803
621	44018	26751
622	44109	26691
623	44196	26631
624	44292	26575
625	44373	26510
626	44456	26446
627	44553	26391
628	44643	26331
629	44743	26278
630	44840	26221
631	44926	26159
632	45014	26098
633	45130	26053
634	45207	25985
635	45298	25925
636	45398	25870
637	45486	25808
638	45561	25739
639	45655	25681
640	45738	25616
641	45821	25551
642	45920	25495
643	46016	25437
644	46109	25378
645	46210	25322
646	46287	25254
647	46370	25189
648	46478	25136
649	46564	25073
650	46649	25008
651	46743	24948
652	46824	24882
653	46906	24816
654	46988	24749
655	47072	24684
656	47162	24622
657	47268	24567
658	47355	24503
659	47441	24439
660	47523	24372
661	47606	24306
662	47690	24240
663	47776	24176
664	47861	24110
665	47936	24040
666	48029	23978
667	48118	23914
668	48204	23850
669	48310	23794
670	48399	23730
671	48491	23668
672	48584	23606
673	48680	23545
674	48774	23483
675	48884	23429
676	48993	23374
677	49093	23315
678	49182	23251
679	49258	23180
680	49363	23123
681	49431	23048
682	49504	22976
683	49593	22911
684	49676	22843
685	49775	22783
686	49873	22722
687	49967	22659
688	50074	22602
689	50170	22540
690	50257	22474
691	50342	22406
692	50465	22356
693	50555	22290
694	50650	22228
695	50738	22161
696	50835	22099
697	50927	22034
698	51011	21966
699	51096	21898
700	51195	21836
701	51283	21770
702	51380	21706
703	51499	21653
704	51583	21584
705	51666	21515
706	51817	21474
707	51913	21410
708	52006	21345
709	52096	21279
710	52182	21210
711	52281	21147
712	52373	21081
713	52454	21011
714	52552	20947
715	52642	20880
716	52746	20818
717	52846	20756
718	52942	20691
719	53036	20625
720	53145	20565
721	53235	20497
722	53359	20443
723	53440	20372
724	53540	20308
725	53626	20239
726	53755	20185
727	53851	20120
728	53940	20051
729	54027	19982
730	54123	19916
731	54218	19850
732	54305	19781
733	54390	19711
734	54492	19646
735	54575	19575
736	54661	19506
737	54762	19441
738	54854	19373
739	54944	19304
740	55036	19236
741	55117	19164
742	55202	19094
743	55287	19023
744	55387	18958
745	55492	18894
746	55581	18824
747	55668	18754
748	55744	18680
749	55851	18617
750	55928	18543
751	56011	18471
752	56108	18404
753	56189	18332
754	56264	18258
755	56368	18192
756	56449	18120
757	56530	18048
758	56620	17978
759	56708	17907
760	56795	17837
761	56887	17768
762	56972	17696
763	57054	17624
764	57155	17557
765	57232	17483
766	57324	17413
767	57414	17343
768	57493	17270
769	57576	17198
770	57662	17126
771	57743	17053
772	57823	16980
773	57919	16911
774	58015	16843
775	58089	16768
776	58177	16696
777	58258	16623
778	58343	16551
779	58425	16479
780	58512	16407
781	58586	16332
782	58678	16262
783	58756	16187
784	58826	16111
785	58933	16045
786	59020	15973
787	59108	15902
788	59200	15831
789	59282	15758
790	59371	15687
791	59475	15619
792	59554	15545
793	59625	15469
794	59720	15399
795	59802	15326
796	59882	15252
797	59975	15181
798	60065	15110
799	60144	15036
800	60234	14964
801	60318	14891
802	60395	14816
803	60490	14746
804	60573	14673
805	60700	14610
806	60815	14544
807	60908	14473
808	61008	14403
809	61103	14332
810	61202	14263
811	61289	14190
812	61369	14115
813	61507	14054
814	61600	13983
815	61699	13912
816	61785	13839
817	61879	13767
818	61959	13693
819	62053	13621
820	62172	13555
821	62256	13481
822	62353	13410
823	62443	13337
824	62514	13260
825	62595	13185
826	62687	13113
827	62768	13038
828	62861	12966
829	62951	12893
830	63032	12818
831	63105	12742
832	63207	12671
833	63297	12598
834	63384	12525
835	63471	12451
836	63549	12375
837	63626	12300
838	63708	12225
839	63801	12152
840	63875	12076
841	63961	12002
842	64039	11926
843	64118	11851
844	64213	11778
845	64297	11704
846	64370	11627
847	64456	11553
848	64535	11478
849	64620	11403
850	64703	11328
851	64777	11252
852	64850	11175
853	64942	11102
854	65029	11028
855	65102	10951
856	65208	10880
857	65293	10806
858	65382	10732
859	65473	10658
860	65553	10582
861	65647	10509
862	65739	10436
863	65820	10360
864	65894	10284
865	65982	10209
866	66056	10133
867	66134	10057
868	66241	9985
869	66333	9911
870	66428	9838
871	66510	9762
872	66595	9687
873	66668	9611
874	66756	9536
875	66840	9461
876	66922	9385
877	67054	9317
878	67142	9242
879	67228	9167
880	67342	9096
881	67425	9020
882	67514	8945
883	67593	8869
884	67668	8793
885	67751	8717
886	67820	8640
887	67899	8563
888	67986	8488
889	68073	8413
890	68158	8338
891	68260	8264
892	68345	8189
893	68423	8112
894	68512	8037
895	68589	7961
896	68673	7885
897	68771	7811
898	68854	7735
899	68938	7659
900	69035	7585
901	69110	7508
902	69187	7432
903	69297	7358
904	69392	7284
905	69479	7208
906	69572	7133
907	69656	7057
908	69736	6981
909	69847	6908
910	69930	6831
911	70023	6756
912	70121	6681
913	70211	6606
914	70289	6529
915	70389	6454
916	70470	6378
917	70551	6302
918	70642	6226
919	70722	6149
920	70796	6072
921	70885	5996
922	70978	5921
923	71063	5845
924	71153	5769
925	71224	5691
926	71308	5615
927	71399	5539
928	71515	5465
929	71618	5390
930	71692	5313
931	71778	5237
932	71878	5161
933	71966	5085
934	72052	5008
935	72141	4932
936	72224	4856
937	72308	4779
938	72431	4705
939	72518	4628
940	72612	4552
941	72703	4476
942	72781	4399
943	72866	4322
944	72975	4247
945	73053	4170
946	73144	4093
947	73237	4017
948	73321	3940
949	73406	3863
950	73511	3787
951	73600	3710
952	73686	3634
953	73769	3557
954	73851	3479
955	73937	3402
956	74032	3326
957	74117	3249
958	74209	3172
959	74309	3096
960	74415	3019
961	74536	2944
962	74677	2869
963	74786	2792
964	74909	2716
965	75009	2640
966	75074	2562
967	75151	2484
968	75245	2407
969	75311	2329
970	75380	2251
971	75467	2173
972	75547	2096
973	75618	2018
974	75698	1940
975	75765	1863
976	75825	1785
977	75895	1707
978	75972	1629
979	76032	1551
980	76094	1473
981	76168	1396
982	76239	1318
983	76309	1240
984	76369	1162
985	76428	1085
986	76502	1007
987	76582	930
988	76649	852
989	76718	774
990	76790	697
991	76853	619
992	76928	542
993	76997	464
994	77057	387
995	77118	309
996	77186	232
997	77266	154
998	77329	77
999	77396	0
